nombre_producto,precio_venta,codigo_de_barras,cantidad,categoria
"
Cerveza Becker 470cc",800,24,7802130000669,
 ALKA 2 MANZANA,400,1,77989086,
 ENCENDEDOR ZENGAZ,4300,1,4895151823129,
 KENT NEO AZUL 20U,4800,14,78026384,
 LAYS CORTE AMERICANO 350G,3500,6,7802000017629,
 OREO 36G,300,37,7590011251100,
